i,counter,word
1, 8638, said
2, 7869, mr
3, 6423, one
4, 5971, would
5, 4480, general
6, 4029, could
7, 3843, time
8, 3796, old
9, 3724, man
10, 3308, may
11, 3094, two
12, 2904, upon
13, 2866, little
14, 2831, see
15, 2589, must
16, 2562, made
17, 2521, well
18, 2482, know
19, 2443, great
20, 2424, good
21, 2320, say
22, 2313, like
23, 2272, come
24, 2241, first
25, 2233, us
26, 2205, much
27, 2171, pickwick
28, 2159, never
29, 2155, back
30, 2001, way
31, 1994, day
32, 1988, sir
33, 1979, men
34, 1968, came
35, 1967, many
36, 1948, mrs
37, 1898, go
38, 1887, long
39, 1875, might
40, 1839, without
41, 1784, make
42, 1738, project
43, 1727, right
44, 1714, life
45, 1696, species
46, 1695, every
47, 1649, gutenberg
48, 1649, work
49, 1643, think
50, 1606, found
51, 1605, another
52, 1557, new
53, 1537, even
54, 1536, hand
55, 1526, still
56, 1503, went
57, 1494, away
58, 1493, thought
59, 1469, young
60, 1435, mind
61, 1421, nothing
62, 1399, three
63, 1382, house
64, 1374, head
65, 1371, people
66, 1371, place
67, 1367, last
68, 1351, take
69, 1351, left
70, 1337, though
71, 1329, shall
72, 1326, saw
73, 1321, got
74, 1314, night
75, 1281, name
76, 1278, dear
77, 1278, ever
78, 1277, replied
79, 1257, took
80, 1252, yet
81, 1236, quite
82, 1230, thus
83, 1227, sam
84, 1214, thing
85, 1211, god
86, 1211, eyes
87, 1207, also
88, 1201, lady
89, 1195, get
90, 1190, part
91, 1185, gwen
92, 1183, army
93, 1182, yes
94, 1173, whole
95, 1171, tell
96, 1163, years
97, 1162, far
98, 1155, room
99, 1148, looked
100, 1117, case
101, 1098, put
102, 1084, seemed
103, 1082, told
104, 1081, seen
105, 1078, look
106, 1069, course
107, 1060, half
108, 1038, always
109, 1031, face
110, 1030, let
111, 1025, going
112, 1023, give
113, 1021, tm
114, 1001, door
115, 997, soon
116, 984, war
117, 975, better
118, 968, done
119, 965, things
120, 958, gentleman
121, 950, hundred
122, 948, state
123, 944, boy
124, 942, called
125, 932, knew
126, 932, weller
127, 928, full
128, 921, round
129, 915, oh
130, 915, use
131, 915, says
132, 913, heard
133, 904, days
134, 897, find
135, 890, several
136, 890, country
137, 889, next
138, 889, thousand
139, 881, water
140, 874, world
141, 874, river
142, 870, point
143, 866, miss
144, 858, near
145, 857, fire
146, 857, word
147, 852, fact
148, 849, however
149, 848, large
150, 848, side
151, 848, something
152, 844, believe
153, 842, looking
154, 839, letter
155, 836, light
156, 834, small
157, 834, moment
158, 832, rather
159, 829, states
160, 820, certain
161, 816, nature
162, 809, cannot
163, 808, hands
164, 802, enough
165, 792, four
166, 791, almost
167, 788, common
168, 786, till
169, 785, five
170, 782, order
171, 779, words
172, 776, joe
173, 776, whether
174, 774, among
