i,counter,word
1, 7657, said
2, 7155, mr
3, 4577, one
4, 4466, would
5, 3394, old
6, 3011, could
7, 3003, man
8, 2657, time
9, 2421, upon
10, 2310, little
11, 2171, pickwick
12, 2163, see
13, 2054, two
14, 2042, know
15, 1953, say
16, 1896, made
17, 1893, well
18, 1874, come
19, 1871, like
20, 1861, sir
21, 1850, mrs
22, 1774, may
23, 1737, must
24, 1723, good
25, 1704, never
26, 1703, back
27, 1644, first
28, 1641, came
29, 1634, way
30, 1600, much
31, 1568, might
32, 1501, great
33, 1430, go
34, 1421, without
35, 1389, long
36, 1362, sam
37, 1350, hand
38, 1348, day
39, 1327, right
40, 1265, away
41, 1262, young
42, 1244, think
43, 1237, even
44, 1233, us
45, 1232, went
46, 1230, replied
47, 1224, god
48, 1223, make
49, 1214, life
50, 1210, thought
51, 1207, mind
52, 1185, gwen
53, 1180, project
54, 1179, work
55, 1168, nothing
56, 1161, many
57, 1157, lady
58, 1154, dear
59, 1140, men
60, 1130, eyes
61, 1122, every
62, 1119, another
63, 1118, head
64, 1100, still
65, 1096, gutenberg
66, 1089, place
67, 1086, last
68, 1083, took
69, 1079, years
70, 1069, people
71, 1065, name
72, 1065, new
73, 1055, yes
74, 1052, got
75, 1048, house
76, 1033, tell
77, 1029, looked
78, 1009, ever
79, 1006, found
80, 994, boy
81, 986, quite
82, 985, saw
83, 983, room
84, 971, face
85, 970, take
86, 954, door
87, 932, weller
88, 931, half
89, 925, three
90, 921, night
91, 912, put
92, 909, gentleman
93, 907, seemed
94, 906, shall
95, 895, though
96, 892, thing
97, 888, going
98, 872, get
99, 872, told
100, 866, yet
101, 856, look
102, 852, labor
103, 847, miss
104, 845, left
105, 839, says
106, 833, oh
107, 809, round
108, 807, however
109, 784, course
110, 782, far
111, 781, better
112, 779, always
113, 773, let
114, 766, done
115, 765, part
116, 756, bible
117, 752, joe
118, 750, case
119, 743, moment
120, 738, rather
121, 733, aunt
122, 733, seen
123, 732, also
124, 732, hands
125, 724, something
126, 723, looking
127, 722, knew
128, 715, voice
129, 710, whole
130, 701, uncle
131, 700, mother
132, 695, give
133, 695, heard
134, 688, side
135, 678, tm
136, 668, moral
137, 664, light
138, 663, father
139, 659, word
140, 658, thus
141, 655, things
142, 648, set
143, 647, find
144, 634, country
145, 629, among
146, 629, end
147, 620, enough
148, 612, felt
149, 611, called
150, 603, state
151, 600, stood
152, 599, days
153, 599, soon
154, 597, letter
155, 593, use
156, 587, world
157, 586, court
158, 583, taken
159, 579, turned
160, 579, sister
161, 575, human
162, 573, heart
163, 572, whose
164, 568, perhaps
165, 566, next
166, 565, fire
167, 562, brought
168, 561, towards
169, 556, almost
170, 555, indeed
171, 553, words
172, 550, full
173, 548, matter
174, 547, gave
175, 545, anything
176, 543, order
177, 541, winkle
178, 540, o
179, 539, water
180, 537, small
181, 537, true
182, 536, son
183, 535, want
184, 535, woman
185, 532, fact
186, 531, story
187, 528, began
188, 527, whether
189, 525, dave
190, 523, gone
191, 523, since
192, 522, question
193, 520, morning
194, 520, known
195, 519, death
196, 517, home
197, 515, black
198, 513, hear
199, 509, law
200, 507, hour
201, 506, chapter
202, 505, read
203, 504, either
204, 502, friend
205, 501, sort
206, 497, behind
207, 496, keep
208, 496, works
209, 495, point
210, 495, asked
211, 493, mean
212, 491, believe
213, 490, short
214, 486, large
215, 485, together
216, 485, open
217, 482, air
218, 480, means
219, 480, five
220, 479, less
221, 478, several
222, 477, near
223, 476, public
224, 476, least
225, 475, four
226, 473, love
227, 473, girl
228, 472, hundred
229, 470, person
230, 468, coming
231, 466, best
232, 466, mo
233, 465, trade
234, 465, book
235, 464, union
236, 464, christian
237, 462, present
238, 458, sure
239, 457, within
240, 454, table
241, 452, manner
242, 452, became
243, 451, reason
244, 448, high
245, 448, dead
246, 448, passed
247, 447, really
248, 446, suppose
249, 443, times
250, 438, lord
251, 436, often
252, 435, making
253, 433, till
254, 432, hope
255, 431, power
256, 430, certain
257, 429, held
258, 429, sat
259, 425, form
260, 424, nature
261, 424, bed
262, 424, alone
263, 423, doubt
264, 422, general
265, 420, terms
266, 412, leave
267, 411, poor
268, 411, call
269, 409, returned
270, 408, character
271, 408, show
272, 407, ground
273, 403, certainly
274, 403, earth
275, 402, given
276, 398, saying
277, 397, friends
278, 396, number
279, 391, others
280, 389, followed
281, 388, king
282, 388, along
283, 385, pocket
284, 384, lay
285, 383, thousand
286, 383, road
287, 383, children
288, 382, states
289, 382, suddenly
290, 381, red
291, 379, street
292, 379, second
293, 376, town
294, 374, used
295, 372, act
296, 372, subject
297, 372, cannot
298, 372, granny
299, 370, already
300, 369, chair
301, 369, possible
302, 369, strong
303, 369, nearly
304, 368, business
305, 365, appeared
306, 365, family
307, 365, body
308, 364, inquired
309, 362, become
310, 362, kind
311, 361, stopped
312, 360, idea
313, 360, strange
314, 359, across
315, 359, fell
316, 358, wrong
317, 357, history
318, 355, self
319, 355, twenty
320, 354, sense
321, 353, electronic
322, 352, close
323, 352, common
324, 352, white
325, 350, past
326, 350, party
327, 350, feet
328, 349, dolly
329, 349, beyond
330, 347, help
331, 346, wife
332, 346, six
333, 345, early
334, 344, kept
335, 344, account
336, 343, wardle
337, 343, money
338, 341, maisie
339, 341, age
340, 339, child
341, 338, religion
342, 337, year
343, 337, hold
344, 337, ago
345, 335, forth
346, 335, speak
347, 334, e
348, 334, strike
349, 333, wery
350, 332, london
351, 332, brother
352, 330, able
353, 330, free
354, 330, return
355, 328, company
356, 328, window
357, 328, else
358, 328, ye
359, 328, position
360, 326, bad
361, 326, taking
362, 326, gentlemen
363, 326, pip
364, 325, spirit
365, 324, agreement
366, 321, truth
367, 321, daughter
368, 321, probably
369, 320, lost
370, 316, ask
371, 315, none
372, 315, war
373, 314, tupman
374, 314, newt
