i,counter,word
1, 6582, said
2, 6507, mr
3, 3440, one
4, 3098, would
5, 2915, old
6, 2183, time
7, 2171, pickwick
8, 2152, could
9, 1955, man
10, 1875, little
11, 1854, upon
12, 1736, sir
13, 1712, see
14, 1690, mrs
15, 1650, know
16, 1644, say
17, 1543, two
18, 1533, well
19, 1445, like
20, 1365, come
21, 1318, sam
22, 1314, never
23, 1300, great
24, 1299, made
25, 1296, good
26, 1282, may
27, 1243, might
28, 1241, first
29, 1225, back
30, 1202, replied
31, 1185, gwen
32, 1169, came
33, 1160, way
34, 1115, lady
35, 1112, must
36, 1104, much
37, 1080, go
38, 1063, think
39, 1046, long
40, 1022, without
41, 1001, dear
42, 992, hand
43, 980, young
44, 965, away
45, 954, day
46, 932, weller
47, 920, thought
48, 905, even
49, 876, make
50, 868, new
51, 866, name
52, 865, nothing
53, 858, project
54, 857, right
55, 849, tell
56, 840, gutenberg
57, 829, years
58, 829, oh
59, 821, yes
60, 821, head
61, 821, us
62, 817, eyes
63, 812, labor
64, 805, another
65, 802, gentleman
66, 802, quite
67, 801, room
68, 801, took
69, 799, last
70, 796, work
71, 793, went
72, 785, mind
73, 777, half
74, 762, got
75, 753, seemed
76, 742, still
77, 739, face
78, 732, many
79, 723, life
80, 723, take
81, 718, aunt
82, 717, door
83, 716, ever
84, 704, however
85, 704, shall
86, 691, place
87, 678, found
88, 678, house
89, 676, get
90, 675, looked
91, 671, three
92, 661, look
93, 660, uncle
94, 657, men
95, 653, thing
96, 638, people
97, 636, course
98, 630, left
99, 622, round
100, 620, saw
101, 619, every
102, 607, mother
103, 606, boy
104, 599, though
105, 598, night
106, 583, put
107, 574, always
108, 573, rather
109, 572, moment
110, 568, court
111, 565, far
112, 558, told
113, 558, better
114, 557, going
115, 551, end
116, 544, letter
117, 542, voice
118, 541, winkle
119, 541, part
120, 537, knew
121, 530, looking
122, 528, let
123, 527, something
124, 525, dave
125, 524, give
126, 519, perhaps
127, 517, tm
128, 515, enough
129, 514, seen
130, 513, yet
131, 510, word
132, 508, father
133, 500, says
134, 499, o
135, 499, side
136, 497, heard
