i,counter,word
1, 2638, said
2, 1876, would
3, 1824, old
4, 1682, one
5, 1334, could
6, 1185, gwen
7, 1165, mrs
8, 1131, see
9, 1067, time
10, 1057, say
11, 1014, little
12, 985, know
13, 869, come
14, 845, back
15, 818, man
16, 808, came
17, 783, might
18, 779, like
19, 735, go
20, 733, never
21, 718, well
22, 696, lady
23, 670, made
24, 652, aunt
25, 644, way
26, 642, good
27, 640, two
28, 633, tell
29, 632, mr
30, 606, may
31, 606, thought
32, 597, think
33, 580, young
34, 576, must
35, 554, away
36, 547, much
37, 545, went
38, 539, long
39, 539, oh
40, 532, dear
41, 525, dave
42, 522, seemed
43, 522, uncle
44, 518, nothing
45, 516, quite
46, 507, first
47, 505, mind
48, 501, got
49, 501, name
50, 500, make
51, 493, upon
52, 486, mother
53, 479, without
54, 475, told
55, 473, yes
56, 464, mo
57, 462, still
58, 459, even
59, 450, letter
60, 450, saw
61, 439, last
62, 438, project
63, 438, right
64, 433, years
65, 431, gutenberg
66, 423, get
67, 421, day
68, 418, great
69, 416, hand
70, 411, thing
71, 402, eyes
72, 376, half
73, 375, took
74, 372, granny
75, 362, another
76, 362, voice
77, 361, going
78, 359, room
79, 358, life
80, 355, course
81, 349, dolly
82, 348, face
83, 345, sister
84, 345, miss
85, 343, though
86, 341, maisie
87, 341, knew
88, 339, look
89, 338, work
90, 337, enough
91, 337, found
92, 336, left
93, 335, door
94, 334, something
95, 331, court
96, 328, take
97, 325, felt
98, 323, us
99, 323, ever
100, 319, word
101, 318, however
102, 316, boy
103, 314, always
104, 310, house
105, 308, put
106, 307, perhaps
107, 305, story
108, 301, new
109, 301, moment
110, 299, end
111, 299, looked
112, 297, says
113, 292, really
114, 291, people
115, 288, heard
116, 285, give
117, 285, sort
118, 282, shall
119, 282, things
120, 281, seen
121, 280, anything
122, 280, tm
123, 278, better
124, 277, let
125, 276, prichard
126, 276, sure
127, 274, marrable
128, 273, head
129, 273, girl
130, 272, round
131, 272, many
132, 270, father
133, 270, suppose
134, 267, soon
135, 266, wizard
136, 265, night
137, 265, rather
138, 265, woman
139, 261, saying
140, 259, yet
141, 255, three
142, 255, ruth
143, 250, dorothy
144, 249, asked
145, 247, next
146, 246, want
147, 246, called
148, 243, phoebe
149, 242, indeed
150, 240, read
151, 236, till
152, 236, place
153, 236, light
154, 236, find
155, 235, heart
156, 234, gone
157, 233, far
158, 231, words
159, 230, mean
160, 229, picture
161, 227, days
162, 226, coming
163, 225, case
164, 225, every
165, 224, fact
166, 223, thrale
167, 221, point
168, 221, short
169, 221, daughter
170, 221, least
171, 219, looking
172, 215, ago
173, 214, doubt
174, 210, almost
175, 209, hear
176, 209, whose
177, 208, keep
178, 208, adrian
179, 207, son
180, 206, gave
181, 206, done
182, 205, ladyship
183, 204, part
184, 200, death
185, 200, sapps
186, 199, world
187, 197, use
188, 193, husband
189, 192, widow
190, 192, dr
191, 192, since
192, 191, small
193, 191, full
194, 191, side
195, 188, love
196, 187, matter
197, 187, talk
198, 185, dead
199, 184, set
200, 183, clear
201, 181, towards
202, 181, strange
203, 180, certainly
204, 179, taken
205, 178, past
206, 178, speech
207, 178, white
208, 175, show
209, 174, home
210, 174, call
211, 173, turned
212, 173, bed
