i,counter,word
1, 5846, mr
2, 3939, said
3, 2301, one
4, 2171, pickwick
5, 1900, man
6, 1672, would
7, 1601, upon
8, 1581, sir
9, 1564, great
10, 1372, time
11, 1334, old
12, 1203, could
13, 1199, sam
14, 1195, little
15, 1047, replied
16, 967, two
17, 944, god
18, 932, weller
19, 902, well
20, 893, must
21, 886, made
22, 885, first
23, 864, good
24, 848, like
25, 823, see
26, 820, much
27, 815, never
28, 784, many
29, 775, may
30, 761, people
31, 747, every
32, 737, bible
33, 729, work
34, 700, life
35, 697, us
36, 692, gentleman
37, 690, music
38, 677, know
39, 664, long
40, 656, say
41, 653, came
42, 653, without
43, 637, way
44, 637, day
45, 615, men
46, 615, place
47, 609, head
48, 609, come
49, 607, young
50, 602, another
51, 601, years
52, 586, last
53, 584, shall
54, 578, mind
55, 571, hand
56, 558, make
57, 557, says
58, 556, project
59, 554, ever
60, 552, three
61, 550, away
62, 549, found
63, 547, gutenberg
64, 546, eyes
65, 540, winkle
66, 533, mrs
67, 521, moral
68, 517, nothing
69, 511, new
70, 509, thing
71, 508, night
72, 505, even
73, 494, back
74, 493, world
75, 488, think
76, 478, go
77, 469, door
78, 461, room
79, 459, still
80, 456, take
81, 450, might
82, 445, whole
83, 442, thought
84, 440, among
85, 434, spirit
86, 434, face
87, 432, yet
88, 432, looked
89, 431, dear
90, 429, christian
91, 428, saw
92, 428, house
93, 424, yes
94, 422, right
95, 419, also
96, 415, though
97, 408, works
98, 408, took
99, 407, went
100, 400, human
101, 399, round
102, 399, opera
103, 396, half
104, 393, let
105, 391, boy
106, 390, fire
107, 389, earth
108, 388, lady
109, 385, towards
110, 381, full
111, 380, part
112, 379, put
113, 378, father
114, 376, hundred
115, 373, light
116, 370, look
117, 370, o
118, 368, heard
119, 363, hands
120, 360, friend
121, 360, water
122, 354, looking
123, 354, better
124, 351, rather
125, 346, thousand
126, 345, true
127, 342, tm
128, 340, thus
129, 338, things
130, 338, far
131, 337, inquired
132, 337, seen
133, 337, find
134, 336, told
135, 332, got
136, 332, left
137, 331, side
138, 331, state
139, 327, wery
140, 327, get
141, 323, whose
142, 322, name
143, 321, musical
144, 320, set
145, 319, done
146, 317, red
147, 316, beautiful
148, 316, black
149, 314, tupman
150, 313, religion
151, 312, always
152, 312, friends
153, 310, quite
154, 309, nature
155, 309, words
156, 308, morning
157, 308, form
158, 308, age
159, 308, book
160, 305, called
161, 303, case
162, 301, public
163, 299, gentlemen
164, 298, four
165, 298, large
166, 298, art
167, 297, seemed
168, 296, heart
169, 293, however
170, 293, tell
171, 292, death
172, 292, voice
173, 292, hear
174, 290, manner
175, 290, moment
176, 289, days
177, 288, give
178, 286, country
179, 285, air
180, 284, believe
181, 279, small
182, 279, bob
183, 279, several
184, 279, known
185, 278, master
186, 276, oh
187, 275, something
188, 274, till
189, 274, present
190, 274, course
191, 272, going
