i,counter,word
1520, 187, banks
1521, 187, height
1522, 187, delight
1523, 187, sought
1524, 187, share
1525, 186, perker
1526, 186, sammy
1527, 186, pleased
1528, 186, figures
1529, 186, iv
1530, 186, applied
1531, 186, tongue
1532, 186, dry
1533, 186, affection
1534, 186, lake
1535, 186, classes
1536, 186, double
1537, 185, absolute
1538, 185, sergeant
1539, 185, fortune
1540, 185, papers
1541, 185, tendency
1542, 185, consideration
1543, 185, quietly
1544, 185, blow
1545, 185, thousands
1546, 184, rode
1547, 184, resumed
1548, 184, universal
1549, 184, spent
1550, 184, remains
1551, 184, georgia
1552, 184, material
1553, 184, committed
1554, 184, particularly
1555, 184, calling
1556, 183, fit
1557, 183, vol
1558, 183, existed
1559, 183, dust
1560, 183, consequently
1561, 183, heat
1562, 183, worked
1563, 183, tail
1564, 183, ceased
1565, 183, lot
1566, 183, jackson
1567, 183, finished
1568, 183, faces
1569, 182, egypt
1570, 182, yellow
1571, 182, governor
1572, 182, clothes
1573, 182, philosophy
1574, 182, rooms
1575, 182, tall
1576, 182, begin
1577, 182, event
1578, 181, r
1579, 181, wolf
1580, 181, reader
1581, 181, literature
1582, 181, observe
1583, 180, wants
1584, 180, measure
1585, 180, demand
1586, 180, drove
1587, 180, san
1588, 180, served
1589, 180, custom
1590, 180, daily
1591, 180, dejah
1592, 179, range
1593, 179, le
1594, 179, throw
1595, 179, completely
1596, 179, approach
1597, 179, temple
1598, 179, increased
1599, 179, practically
1600, 179, bar
1601, 179, quick
1602, 178, ere
1603, 178, refused
1604, 178, families
1605, 178, rapid
1606, 178, suffered
1607, 178, seized
1608, 178, genus
1609, 178, surprised
1610, 178, samuel
1611, 178, thoris
1612, 177, kitchen
1613, 177, footnote
1614, 177, interesting
1615, 177, sacred
1616, 177, superior
1617, 177, rain
1618, 177, hood
1619, 177, message
1620, 177, german
1621, 177, loose
1622, 177, yards
1623, 177, handel
1624, 177, useful
1625, 177, everybody
1626, 177, stream
1627, 176, inquiry
1628, 176, foreign
1629, 176, task
1630, 176, fought
1631, 176, image
1632, 176, congress
1633, 176, results
1634, 176, noticed
1635, 176, voices
1636, 176, request
